# measure_pose_arrivals run4 moving SLOW, 30 s legs at 0.15 m/s url=http://127.0.0.1:8088/monitor/state?serial=F001 rate=20.0 seconds=240.0 moving_speed=0.05
t_s,reachable,reason,pose_age_ms,pose_count,obstacles_age_ms,x_m,y_m,yaw_rad,arrival_s,interval_s,messages_in_interval,interval_m,interval_rad
53.5842,True,,3199.8,373,11.1,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3844,,,,
53.6351,True,,3263.6,373,74.9,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3715,,,,
53.699,True,,3312.2,373,22.9,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3868,,,,
53.7601,True,,3373.0,373,83.7,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3871,,,,
53.8083,True,,3419.8,373,31.2,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3885,,,,
53.8552,True,,3484.3,373,95.7,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3709,,,,
53.9197,True,,3544.5,373,56.3,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3752,,,,
53.9797,True,,3611.6,373,23.0,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3681,,,,
54.0468,True,,3675.9,373,87.3,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3709,,,,
54.1111,True,,3750.3,373,58.9,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3608,,,,
54.1858,True,,3824.9,373,32.6,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3609,,,,
54.2608,True,,3902.0,373,9.5,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3588,,,,
54.3373,True,,4009.9,373,23.9,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3274,,,,
54.445,True,,4072.6,373,86.6,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3724,,,,
54.5083,True,,4134.6,373,39.0,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3737,,,,
54.5697,True,,4187.0,373,91.4,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3827,,,,
54.6224,True,,4258.8,373,66.9,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3636,,,,
54.6947,True,,4311.3,373,21.6,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3834,,,,
54.7464,True,,4362.7,373,73.0,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3837,,,,
54.7978,True,,4413.8,373,24.5,6.13112661252577,12.462188577097281,-0.7561402072266893,50.384,,,,
54.8494,True,,4464.8,373,75.4,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3846,,,,
54.9011,True,,4536.6,373,48.8,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3645,,,,
54.9725,True,,4593.6,373,3.1,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3789,,,,
55.0293,True,,4659.8,373,69.4,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3695,,,,
55.0955,True,,4721.7,373,32.6,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3738,,,,
55.1713,True,,4806.5,373,16.5,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3648,,,,
55.2415,True,,4869.8,373,79.8,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3717,,,,
55.3053,True,,4934.1,373,47.1,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3712,,,,
55.3694,True,,5000.5,373,14.3,6.13112661252577,12.462188577097281,-0.7561402072266893,50.3689,,,,
